search_term,ad_id,page_name,page_id,status,platforms,display_format,ad_title,ad_copy_preview,caption,cta_text,link_url,start_date,stop_date,total_active_days,impressions,spend_lower,spend_upper,currency,page_likes,collation_count,categories,targeted_countries,page_profile_url,collected_at
diskon,26000533262914544,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",IMAGE,Cicilan Tanpa Bunga!😍,Puluhan Ribu Pengguna Beli HP Baru di Akulaku!📱,play.google.com,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-01-31,2026-04-02,60,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1013087.0,1.0,UNKNOWN,,https://www.facebook.com/AkuLakuIndonesia/,2026-04-02 20:11:56
diskon,744744845015965,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",IMAGE,Punya smartphone baru tanpa keluar uang di awal. Cicilan ringan.😍,DP Rp0 + Gratis Ongkir + Diskon Tambahan! Periode terbatas. Jangan lewatkan!⏰,play.google.com,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-01-30,2026-04-02,61,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1013087.0,1.0,UNKNOWN,,https://www.facebook.com/AkuLakuIndonesia/,2026-04-02 20:11:56
H&M Indonesia,1431217684824277,AliExpress,335963307560,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,{{product.name}}{{product.current_price strip_zeros}},"🔥🔥🔥AliExpress.
🛒With millions of products
🤟there's always something on sale! | 🔥🔥🔥AliExpress.
🛒With millions of products
🤟there's always something on sale! | 🔥🔥🔥AliExpress.
🛒With millions of products
",play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.alibaba.aliexpresshd,2025-08-05,2025-09-03,29,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,42051266.0,,UNKNOWN,,https://www.facebook.com/AliExpress/,2026-04-02 20:11:07
H&M Indonesia,4239787386244061,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.description}},Enjoy great profits on global product sourcing and choose from world's largest supplier base. | Enjoy great profits on global product sourcing and choose from world's largest supplier base. | Enjoy gr,m.alibaba.com,Shop now,https://m.alibaba.com/?src=cpm_fb,2025-09-10,2026-03-01,172,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838788.0,,UNKNOWN,,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 20:11:07
H&M Indonesia,1113519794304181,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.description}},get latest price💝Enjoy great profits on global product sourcing and choose from world's largest supplier base. | get latest price💝Enjoy great profits on global product sourcing and choose from world's,m.alibaba.com,Learn more,https://m.alibaba.com/?src=cpm_fb,2025-09-01,2026-03-14,194,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838788.0,,UNKNOWN,,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 20:11:07
H&M Indonesia,23948759321387006,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.description}},Enjoy great profits on global product sourcing and choose from world's largest supplier base. | Enjoy great profits on global product sourcing and choose from world's largest supplier base. | Enjoy gr,m.alibaba.com,Shop now,https://m.alibaba.com/?src=cpm_fb,2025-06-19,2026-04-01,286,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838788.0,,UNKNOWN,,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 20:11:07
H&M Indonesia,1424789748974798,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.name}},Enjoy great profits on global product sourcing and choose from one of the world's leading B2B ecommerce platforms. | Enjoy great profits on global product sourcing and choose from one of the world's l,m.alibaba.com,Shop now,https://m.alibaba.com/?src=cpm_fb,2025-06-10,2025-07-10,30,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838788.0,,UNKNOWN,,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 20:11:07
H&M Indonesia,728917532997988,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.name}},Enjoy great profits on global product sourcing and choose from one of the world's leading B2B ecommerce platforms. | Enjoy great profits on global product sourcing and choose from one of the world's l,m.alibaba.com,Shop now,https://m.alibaba.com/?src=cpm_fb,2025-06-10,2025-07-10,30,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838788.0,,UNKNOWN,,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 20:11:07
H&M Indonesia,1171890127678273,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,{{product.description}},"get latest price Download the world's leading B2B App to shop millions of products, find worldwide suppliers, and get exclusive in-app discounts! | get latest price Download the world's leading B2B Ap",play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.alibaba.intl.android.apps.poseidon,2025-03-14,2025-06-18,96,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838788.0,,UNKNOWN,,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 20:11:07
H&M Indonesia,1700262493920277,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.name}},Source Construction & Real Estate on Alibaba.com. Alibaba.com-World's Leading B2B Marketplace. | Source Construction & Real Estate on Alibaba.com. Alibaba.com-World's Leading B2B Marketplace. | Source,m.alibaba.com,Learn more,https://m.alibaba.com/lp/group?group_id=57&src=cpm_fb&sub_channel=dpa&link_type=campaign&cid=13,2025-02-14,2025-06-26,131,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838788.0,,UNKNOWN,,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 20:11:07
H&M Indonesia,1352946009002105,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.name}}  from {{product.price strip_zeros}},Enjoy great profits on global product sourcing and choose from world's largest supplier base. | Enjoy great profits on global product sourcing and choose from world's largest supplier base. | Enjoy gr,www.alibaba.com,Learn more,https://m.alibaba.com/?src=cpm_fb&account=DPA&biz=ggs_app&traffic_type=directWake&cpm_fb_param=1&extra=ggs_app,2024-11-21,2025-04-15,144,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838788.0,,UNKNOWN,,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 20:11:07
flash sale,1503129340477875,All You Can Trend Worldwide,136687399530652,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},📣 Warehouse Deals 📣 Best Espresso Machines on Sale up to -70%. 👀👇 Items in stock 😴 ⏰ ⤵️ | 👀  ☕️ Unsold Coffee Machines 2022  : All categories and models of the top brands are on sale with up to 70% di,allyoucantrend.appliances,Learn more,https://allyoucantrend.com/en/search/trends/tech-store/?utm_source=fb&utm_medium=ppc&utm_campaign={{campaign.id}}&utm_content=5355276874&utm_term=small-appliances,2023-12-20,2025-10-15,664,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,6859.0,1.0,UNKNOWN,,https://www.facebook.com/AllYouCanTrendWorldwide/,2026-04-02 20:11:31
flash sale,1229290988944814,Alpha books,619405714597198,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",VIDEO,🔞Attention! Do not read in public！👉,"I've been in love with my best friend, Finn Hartley, since we met in college ten years ago.
It's not like I'll ever tell him I have feelings for him. I know he doesn't see me that way. He probably won",redtgb.com,Learn more,https://redtgb.com/market/goodnovel/1?lpid=24282&utm_campaign={{campaign.name}}&utm_content={{campaign.id}}&adset_name={{adset.name}}&adset_id={{adset.id}}&ad_id={{ad.id}}&ad_name={{ad.name}}&placement={{placement}},2025-07-10,2025-08-09,30,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,16990.0,2.0,UNKNOWN,,https://www.facebook.com/61577090219926/,2026-04-02 20:11:31
H&M Indonesia,1055352206248470,Ammie Bouwman - For His Glory Ministry,940627722725768,INACTIVE,FACEBOOK,IMAGE,Ammie Bouwman - For His Glory Ministry,"Join Reverend Ammie Bouwman for daily devotions, teachings, Bible Study, and Church Online!",facebook.com,Like Page,https://facebook.com/ammiebouwman,2024-09-15,2025-05-25,252,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,817295.0,1.0,UNKNOWN,,https://www.facebook.com/ammiebouwman/,2026-04-02 20:11:07
Zara,1240546301478840,Angelica Colon,675199009018669,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,"Enjoy the latest series anytime, without spending a penny!","Short, exciting series... and totally free! 🎬✨ Discover hundreds of miniseries with captivating stories, romance, drama, and surprises in every episode.

New episodes are added daily, so you'll always",play.google.com,Watch more,http://play.google.com/store/apps/details?id=com.dramarush.bingeshort,2026-03-17,2026-04-01,15,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,342.0,1.0,UNKNOWN,,https://www.facebook.com/61577846057661/,2026-04-02 20:10:42
Puma,1424706085393046,Apps4Style - Shoes,304852989388606,INACTIVE,"FACEBOOK, INSTAGRAM",DPA,Grab Yours!✨,👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occas,go.apps4style.com,Shop now,https://go.apps4style.com/moreshoes?s2=lyst,2025-06-24,2025-09-03,71,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,36856.0,,UNKNOWN,,https://www.facebook.com/Apps4styleShoes/,2026-04-02 20:09:46
Puma,686678890982497,Apps4Style - Shoes,304852989388606,INACTIVE,"FACEBOOK, INSTAGRAM",DPA,Grab Yours!✨,👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occas,go.apps4style.com,Shop now,https://go.apps4style.com/moreshoes?s2=lyst,2025-05-08,2025-06-24,47,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,36856.0,,UNKNOWN,,https://www.facebook.com/Apps4styleShoes/,2026-04-02 20:09:46
Puma,633032562901124,Apps4Style - Shoes,304852989388606,INACTIVE,"FACEBOOK, INSTAGRAM",DPA,Grab Yours!✨,👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occas,go.apps4style.com,Shop now,https://go.apps4style.com/moreshoes?s2=lyst,2025-03-10,2025-04-21,42,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,36856.0,,UNKNOWN,,https://www.facebook.com/Apps4styleShoes/,2026-04-02 20:09:46
Puma,1662532227705650,Apps4Style - Shoes,304852989388606,INACTIVE,"FACEBOOK, INSTAGRAM",DPA,Grab Yours!✨,👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occas,go.apps4style.com,Shop now,https://go.apps4style.com/moreshoes?s2=lyst,2025-02-16,2025-04-17,59,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,36856.0,,UNKNOWN,,https://www.facebook.com/Apps4styleShoes/,2026-04-02 20:09:46
flash sale,2553209271740661,Bandify,254807741040121,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DPA,{{product.name}},"🌟 Flash Sale: ENJOY 60% OFF All Apple Watch Straps & Cases! 🌟 Enjoy free worldwide shipping on all orders. Bandify's premium straps offer the perfect style upgrade, combining comfort, durability, and ",bandify.com.au,Shop now,https://bandify.com.au/collections/best-selling,2026-02-10,2026-03-20,37,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13716.0,,UNKNOWN,,https://www.facebook.com/61556071936252/,2026-04-02 20:11:31
flash sale,885467100693391,Bandify,254807741040121,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DPA,{{product.name}},"🌟 Flash Sale: ENJOY 60% OFF All Apple Watch Straps & Cases! 🌟 Enjoy free worldwide shipping on all orders. Bandify's premium straps offer the perfect style upgrade, combining comfort, durability, and ",bandify.com.au,Shop now,https://bandify.com.au/collections/best-selling,2026-01-14,2026-02-11,28,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13716.0,,UNKNOWN,,https://www.facebook.com/61556071936252/,2026-04-02 20:11:31
flash sale,2094699040934830,Bandify,254807741040121,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DPA,{{product.name}},"🌟 Flash Sale: 50% OFF All Apple Watch Straps & Cases! 🌟 Enjoy free worldwide shipping on all orders. Bandify's premium straps offer the perfect style upgrade, combining comfort, durability, and a wide",bandify.com.au,Shop now,https://bandify.com.au/collections/best-selling,2025-11-14,2026-01-14,61,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13716.0,,UNKNOWN,,https://www.facebook.com/61556071936252/,2026-04-02 20:11:31
flash sale,1389899816056080,Bandify,254807741040121,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DPA,{{product.name}},"🌟 Flash Sale: 50% OFF All Apple Watch Straps & Cases! 🌟 Enjoy free worldwide shipping on all orders. Bandify's premium straps offer the perfect style upgrade, combining comfort, durability, and a wide",bandify.com.au,Shop now,https://bandify.com.au/collections/best-selling,2025-06-10,2025-08-26,77,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13716.0,,UNKNOWN,,https://www.facebook.com/61556071936252/,2026-04-02 20:11:31
diskon,845061004090480,Baseus Indonesia,332007701469584,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,{{product.name}},"Koleksi charger keren dari Baseus diskon hingga 90% 
Check out sekarang! | Koleksi charger keren dari Baseus diskon hingga 90% 
Check out sekarang! | Koleksi charger keren dari Baseus diskon hingga 90",shopee.co.id,Shop now,https://shopee.co.id/universal-link/baseusofficial?page=0&shopCollection=23640086&deep_and_web=1&utm_campaign=s63826081_ss_id_fbc1_chargercarousel&utm_source=facebook-ca&utm_medium=seller&utm_content=chargercarousel&smtt=9,2024-01-09,2025-04-14,460,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,11706.0,,UNKNOWN,,https://www.facebook.com/KIIPGadget/,2026-04-02 20:11:56
Puma,1837149667204647,Basic Outlet,305834289282346,INACTIVE,"FACEBOOK, INSTAGRAM",VIDEO,Basic Outlet Stores,"FALL ‘25 IS HERE! Thousands of new arrivals hit Basic stores on Sept 6 🤩 The store flips overnight. Are you ready?

🛍️ Be first, shop best 
📍Verdun, Hazmieh, Antelias, Kaslik

—

ITEM DETAILS

* Item ",www.instagram.com,Learn more,https://www.instagram.com/basicoutletstores/,2025-09-02,2025-09-04,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,15920.0,4.0,UNKNOWN,,https://www.facebook.com/61559444260440/,2026-04-02 20:09:46
Zara,889220713794068,Biblioteca de Deseos Nocturnos,961883117007540,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,📚✨ AstraNovel - Libros infinitos,"Él levantó mis brazos, inmovilizando mis manos sobre mi cabeza.

—Dime que no te acostaste con él, maldita sea —exigió entre dientes apretados.

—¡Vete al diablo, hijo de puta! —le respondí, intentand",play.google.com,Learn more,http://play.google.com/store/apps/details?id=com.astranovel.app,2025-12-13,2026-01-05,23,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,94.0,2.0,UNKNOWN,,https://www.facebook.com/61585168344089/,2026-04-02 20:10:42
Puma,1971563657042822,Blibli.com,182826235081589,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",DPA,{{product.name}},"Nike, On Running, Adidas, Puma, Asics Semua Lengkap di Blibli. Stock Terbatas, Free Return Guarantee | Nike, On Running, Adidas, Puma, Asics Semua Lengkap di Blibli. Stock Terbatas, Free Return Guaran",blibli.com,Shop now,https://www.blibli.com/cari/lari,2026-03-11,2026-04-02,22,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,8407308.0,,UNKNOWN,,https://www.facebook.com/bliblidotcom/,2026-04-02 20:09:46
diskon,897101116147827,BookCabin,799697136558606,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},Dapatkan diskon hingga 8% untuk pengguna baru. Pesan tiket pertama lebih hemat! ✈️ | Baru pertama pesan? Nikmati 5% off tiket pesawat untuk pengguna baru. ✈️,https://www.bookcabin.com,Book now,https://www.bookcabin.com/,2026-01-27,2026-04-02,64,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,440.0,5.0,UNKNOWN,,https://www.facebook.com/61581189363897/,2026-04-02 20:11:56
Puma,1610265940332223,Borussia Dortmund,134904013188254,INACTIVE,INSTAGRAM,VIDEO,N/A,"👀 𝐁𝐋𝐈𝐍𝐃 𝐑𝐀𝐍𝐊𝐈𝐍𝐆 @puma athletes with Schlotti, Niki and Greg 🧐📊

🤝 @puma.de",N/A,N/A,N/A,2026-01-08,2026-01-10,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,16837123.0,,UNKNOWN,,https://www.facebook.com/BVB/,2026-04-02 20:09:46
diskon,1316393086653842,BrainAcademy.id,2374310952846624,ACTIVE,INSTAGRAM,DCO,N/A,"LAGI CARI BIMBEL PERSIAPAN MASUK PTN?

BRAIN ACADEMY ONLINE BISA JADI TEMAN BELAJAR KAMU DENGAN FASILITAS TERLENGKAP 😍
🚀✨🤩

✅ Belajar online langsung bareng Master Teacher
✅ Sesi Tutor eksklusif
✅ Sha",brainacademy.id,Learn more,https://www.brainacademy.id/,2026-01-26,2026-04-02,65,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,7642.0,1.0,UNKNOWN,,https://www.facebook.com/brainacademy.id/,2026-04-02 20:11:56
Puma,1225289589492887,CGTN Latin America,649325754928232,INACTIVE,INSTAGRAM,IMAGE,N/A,"🌙#GoodNight from #Xizang, China. Here is Puma Yumco Lake, which in Tibetan means “The Flying Blue Sapphire”💎, frozen and incredibly blue under the winter sky — a true treasure of nature. Welcome to Xi",instagram.com,Learn more,https://www.instagram.com/cgtn_latinamerica/,2026-01-07,2026-01-14,7,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,183126.0,1.0,UNKNOWN,,https://www.facebook.com/61576168470512/,2026-04-02 20:09:46
flash sale,1269855074336312,Cali Tiger Brand,332042047421965,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,Huge Savings: 50-70% Off + Free Shipping!,🚨 Up to 70% OFF! Limited Time Flash Sale + Free Shipping on Every Order! Don’t Wait – Stock Won't Last! 🚨 | 🚨 Up to 70% OFF! Limited Time Flash Sale + Free Shipping on Every Order! Don’t Wait – Stock ,calitiger.com,Shop now,https://www.calitiger.com/collections/all,2024-11-08,2025-04-09,151,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,25584.0,,UNKNOWN,,https://www.facebook.com/calitigerbrand/,2026-04-02 20:11:31
flash sale,3757376014511355,Cali Tiger Brand,332042047421965,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,50% OFF SALE! 🚨 SHOP NOW!,🚨 FLASH SALE 50% OFF! Hurry Limited Stock Left! FREE Shipping On All Orders!  🚨 | 🚨 FLASH SALE 50% OFF! Hurry Limited Stock Left! FREE Shipping On All Orders!  🚨 | 🚨 FLASH SALE 50% OFF! Hurry Limited ,calitiger.com,Shop now,https://www.calitiger.com/collections/all,2024-11-08,2025-04-10,152,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,25584.0,,UNKNOWN,,https://www.facebook.com/calitigerbrand/,2026-04-02 20:11:31
diskon,3618070371691891,Carvil,165281986658733,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",DPA,{{product.name}},"Diskon hingga 65%! 
Produk pilihan lagi promo terbatas — jangan sampai kehabisan! | Diskon hingga 65%! 
Produk pilihan lagi promo terbatas — jangan sampai kehabisan! | Diskon hingga 65%! 
Produk pilih",shopee.co.id,Shop now,https://shopee.co.id/shop/32702905,2026-02-19,2026-04-01,40,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,124.0,,UNKNOWN,,https://www.facebook.com/61552676876226/,2026-04-02 20:11:56
