search_term,ad_id,page_id,page_name,page_category,page_verified,ig_username,ig_followers,page_likes,status,platforms,display_format,ad_title,ad_copy_preview,cta_text,link_url,start_date,stop_date,total_active_days,impressions,spend_lower,spend_upper,currency,eu_reach,gender_audience,age_audience,categories,targeted_countries,total_ads_found,ad_library_url,page_profile_url,collected_at
H&M Indonesia,'341083160312556,'1639077443036965,Ahok for Indonesia,Government Official,NOT_VERIFIED,signalgratis,901,77104,INACTIVE,FACEBOOK,IMAGE,N/A,"Gubernur Sulawesi Selatan Nurdin Abdullah menegaskan pentingnya UU Cipta Kerja kepada demonstran mahasiswa.

“Saya ingin sampaikan, sekali lagi, bahwa kalian butuh lapangan kerja. Pasti butuh lapangan kerja! … Tidak ada yang mau masuk berinvestasi ke Indonesia. Kenapa? Birokrasi yang panjang dan mah",N/A,N/A,2020-10-13,2020-10-14,1,45K-50K,N/A,N/A,IDR,N/A,N/A,N/A,POLITICAL,,50001,https://www.facebook.com/ads/library/?id=341083160312556,https://www.facebook.com/AhokIndonesia/,2026-04-03 05:33:39
H&M Indonesia,'1477267660619144,'110310245334227,Aimskincare Manufacturing Indonesia,Industrial company,NOT_VERIFIED,aimskincare,1909,16,ACTIVE,INSTAGRAM,IMAGE,N/A,"Different skin, different needs.
Sensitive skin deserves the right care.
From lightweight to rich textures — 
gel, cream, and more —
Aimskincare offers solutions for various skin needs 🤍

#Aimskincare #SkinCareSolutions 
#SensitiveSkinCare #DailySkinCare #TrustedCare",Learn more,https://aimskincare.co.id/,2026-03-05,2026-04-02,28,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=1477267660619144,https://www.facebook.com/aimskincare.id/,2026-04-03 05:33:39
Adidas Indonesia,'5846677518721921,'756567881057213,Airlangga Hartarto,Government Official,BLUE_VERIFIED,N/A,N/A,726102,INACTIVE,FACEBOOK,MULTI_IMAGES,N/A,"Memulai agenda pertama di Brussels Belgia, Selasa (13/12), saya bertemu dengan Mr. Manuel Pauser, Vice President Federation of European Sporting Goods sekaligus Vice President of Government and Community Affairs Adidas.

Kami berdiskusi tentang rencana strategis kerja sama antara pemerintah Indonesi",N/A,N/A,2022-12-16,2022-12-17,1,8K - 9K,N/A,N/A,IDR,N/A,N/A,N/A,POLITICAL,,247,https://www.facebook.com/ads/library/?id=5846677518721921,https://www.facebook.com/AirlanggaHartarto/,2026-04-03 05:29:24
flash sale,'3753391578127481,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Promo Flash Sale!⚡,"Kredit Limit hingga 25 Juta! 💳
Belanja kebutuhan besar jadi gampang. **Bebas bunga & DP 0** untuk banyak produk pilihan👍",Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-02-25,2026-04-02,36,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=3753391578127481,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:34:47
flash sale,'1861614304497902,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Promo Flash Sale!⚡,"Kredit Limit hingga 25 Juta! 💳
Belanja kebutuhan besar jadi gampang. **Bebas bunga & DP 0** untuk banyak produk pilihan👍",Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-02-24,2026-04-02,37,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=1861614304497902,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:34:47
flash sale,'1317646420202797,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Promo Flash Sale!⚡,"Kredit Limit hingga 25 Juta! 💳
Belanja kebutuhan besar jadi gampang. **Bebas bunga & DP 0** untuk banyak produk pilihan👍",Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-02-24,2026-04-02,37,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=1317646420202797,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:34:47
flash sale,'1400982011274404,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Promo Flash Sale!⚡,"Kredit Limit hingga 25 Juta! 💳
Belanja kebutuhan besar jadi gampang. **Bebas bunga & DP 0** untuk banyak produk pilihan👍",Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-02-24,2026-04-02,37,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=1400982011274404,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:34:47
diskon,'26000533262914544,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",IMAGE,Cicilan Tanpa Bunga!😍,Puluhan Ribu Pengguna Beli HP Baru di Akulaku!📱,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-01-31,2026-04-02,61,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=26000533262914544,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:36:01
diskon,'1907923059843729,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,🛒 Buruan!,DP Rp0 + Gratis Ongkir + Diskon Tambahan! Periode terbatas. Jangan lewatkan!⏰,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-01-31,2026-04-02,61,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=1907923059843729,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:36:01
diskon,'744744845015965,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",IMAGE,Punya smartphone baru tanpa keluar uang di awal. Cicilan ringan.😍,DP Rp0 + Gratis Ongkir + Diskon Tambahan! Periode terbatas. Jangan lewatkan!⏰,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-01-30,2026-04-02,62,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=744744845015965,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:36:01
diskon,'1396360182269885,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",IMAGE,🛒 Buruan!,DP Rp0 + Gratis Ongkir + Diskon Tambahan! Periode terbatas. Jangan lewatkan!⏰,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-01-29,2026-04-02,63,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=1396360182269885,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:36:01
diskon,'26212923961648895,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Smartphone impian? 📱,"Diskon GILA! 🔥Hanya di Akulaku, discoon hingga Rp 1500K! Buat belanja hemat.📲",Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-01-29,2026-04-02,63,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=26212923961648895,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:36:01
diskon,'3662890810685560,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",VIDEO,😍DP Mulai Rp 0K+Diskon s/d 1500K+Gratis Ongkir!,Cicilan di Akulaku😍 Rp0 uang muka ✅Suku bunga rendah ✅ 115RB telah dikirim ke akun Anda😍,Install now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2025-06-30,2026-04-02,276,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=3662890810685560,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:36:01
diskon,'605421262152638,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,1013084,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",VIDEO,😍DP Mulai Rp 0K+Diskon s/d 1500K+Gratis Ongkir!,Cicilan di Akulaku😍 Rp0 uang muka ✅Suku bunga rendah ✅ 115RB telah dikirim ke akun Anda😍,Install now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2025-06-30,2026-04-02,276,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=605421262152638,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:36:01
diskon,'303714750936780,'278932119108288,Akulaku Indonesia,Product/service,BLUE_VERIFIED,akulaku_id,951315,N/A,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",N/A,N/A,"🔥Brand Promo! Beli Smartphone di Akulaku!
😍DP Mulai Rp 0K+Diskon s/d 1500K+Gratis Ongkir!
💪Cicilan 6/9/12 bulan + Dapat kredit limit Hingga Rp 25 Juta!",N/A,N/A,2020-08-18,2020-10-14,57,>1M,N/A,N/A,USD,N/A,N/A,N/A,POLITICAL,,50001,https://www.facebook.com/ads/library/?id=303714750936780,https://www.facebook.com/AkuLakuIndonesia/,2026-04-03 05:36:01
H&M Indonesia,'2404682546700649,'833764336480026,Alat Berat Luyu Indonesia,Commercial & Industrial Equipment Supplier,NOT_VERIFIED,luyumachinery.id,142,129,ACTIVE,"FACEBOOK, INSTAGRAM",VIDEO,Jual Wheel Loader Murah dan Self Loading Concrete Mixer,"🎉🎉𝐏𝐑𝐎𝐌𝐎 𝐀𝐋𝐀𝐓 𝐁𝐄𝐑𝐀𝐓 𝐂𝐇𝐈𝐍𝐀 𝐁𝐄𝐑𝐊𝐔𝐀𝐋𝐈𝐓𝐀𝐒 𝐁𝐄𝐑𝐆𝐀𝐑𝐀𝐍𝐒𝐈 𝐑𝐄𝐒𝐌𝐈🎊🎊

𝐖𝐇𝐄𝐄𝐋 𝐋𝐎𝐀𝐃𝐄𝐑, 𝐒𝐄𝐋𝐅 𝐋𝐎𝐀𝐃𝐈𝐍𝐆 𝐂𝐎𝐍𝐂𝐑𝐄𝐓𝐄 𝐌𝐈𝐗𝐄𝐑, 𝐄𝐗𝐂𝐀𝐕𝐀𝐓𝐎𝐑, 𝐓𝐑𝐀𝐂𝐊𝐓𝐎𝐑, 𝐃𝐒𝐁. 

Menyediakan berbagai kapasitas Wheel Loader mulai dari 0.5 m³ hingga 3 m³ dan alat berat lainnya. Tersedia Attachment Fork Garpu dan Grapple Loader. 

𝐃𝐚𝐩𝐚𝐭𝐤𝐚𝐧 𝐃𝐢𝐬𝐤𝐨𝐧 𝐒𝐩𝐞𝐬𝐢",Send WhatsApp message,https://api.whatsapp.com/send,2026-03-21,2026-04-02,12,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=2404682546700649,https://www.facebook.com/luyumachinery.co.id/,2026-04-03 05:33:39
Nike Indonesia,'1372944337249261,'104948061011963,Alexander Wilyo - AW,Public figure,NOT_VERIFIED,N/A,N/A,29766,INACTIVE,"FACEBOOK, INSTAGRAM",MULTI_IMAGES,N/A,"Kolaborasi dan semangat kebersamaan mewarnai puncak perayaan HUT PPNI ke-51 Kalimantan Barat di Kabupaten Ketapang

Ketapang, Kalimantan Barat – Jumat malam, 16 Mei 2025, Saya Bupati Ketapang, didampingi Ketua TP PKK Kabupaten Ketapang, Ibu Dewi Nurjana Alexander Wilyo, menghadiri syukuran dan penut",No button,N/A,2025-05-16,2025-05-18,2,10K - 15K,N/A,N/A,IDR,N/A,N/A,N/A,POLITICAL,,299,https://www.facebook.com/ads/library/?id=1372944337249261,https://www.facebook.com/AlexanderWilyoAW/,2026-04-03 05:28:23
Puma,'762377843101175,'22437985072,Alibaba.com,Product/service,BLUE_VERIFIED,alibaba.com_official,14298652,28837051,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.name}},Source Tools & Hardware on Alibaba.com. Alibaba.com-World's Leading B2B Marketplace.,Learn more,https://m.alibaba.com/lp/group?group_id=57&src=cpm_fb&sub_channel=dpa&link_type=campaign,2025-08-31,2025-12-02,93,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,3500,All,"{'min': 21, 'max': 65}",UNKNOWN,,12482,https://www.facebook.com/ads/library/?id=762377843101175,https://www.facebook.com/Alibaba.comGlobal/,2026-04-03 05:30:23
H&M Indonesia,'675022243184374,'100157388409035,All Indonesian Lives Matter,Society & culture website,NOT_VERIFIED,N/A,N/A,138737,INACTIVE,FACEBOOK,VIDEO,N/A,"SELAMAT DAN SUKSES MAJELIS ULAMA INDONESIA!
Oleh All Indonesian Lives Matter

Selamat kami ucapkan atas terselenggaranya “Munas MUI ke-10” pada 25-27 November 2020 yang Alhamdulillah sudah terlaksana dengan lancar, sukses dan penuh khidmat.. semoga Munas tahun ini dapat menjadi momentum bagi MUI unt",N/A,N/A,2020-11-29,2020-12-03,4,150K-175K,N/A,N/A,IDR,N/A,N/A,N/A,POLITICAL,,50001,https://www.facebook.com/ads/library/?id=675022243184374,https://www.facebook.com/AllIndonesianLivesMatter/,2026-04-03 05:33:39
Puma,'1717940708808098,'610670125462764,All Languages,Entertainment website,NOT_VERIFIED,N/A,N/A,4301,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",VIDEO,N/A,N/A,Install now,http://play.google.com/store/apps/details?id=com.translate.language.translator.camera.photo.all.free.voice.ai.video,2025-06-24,2025-10-31,129,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,47596,All,"{'min': 18, 'max': 65}",UNKNOWN,,12482,https://www.facebook.com/ads/library/?id=1717940708808098,https://www.facebook.com/61574931341470/,2026-04-03 05:30:23
flash sale,'764380728448905,'183192254881343,All You Can Trend Shopping,Website,NOT_VERIFIED,N/A,N/A,1249,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},{{product.brand}},Learn more,https://allyoucantrend.com/en/search/trends/tech-icon/?utm_source=fb&utm_medium=ppc&utm_campaign={{campaign.id}}&utm_content=4552785612&utm_term=laptop,2024-02-08,2025-05-19,466,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,30291,All,"{'min': 18, 'max': 65}",UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=764380728448905,https://www.facebook.com/AllYouCanTrendShopping/,2026-04-03 05:34:47
flash sale,'1503129340477875,'136687399530652,All You Can Trend Worldwide,Website,NOT_VERIFIED,N/A,N/A,6857,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},{{product.brand}},Learn more,https://allyoucantrend.com/en/search/trends/tech-store/?utm_source=fb&utm_medium=ppc&utm_campaign={{campaign.id}}&utm_content=5355276874&utm_term=small-appliances,2023-12-20,2025-10-15,665,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,92378,All,"{'min': 23, 'max': 65}",UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=1503129340477875,https://www.facebook.com/AllYouCanTrendWorldwide/,2026-04-03 05:34:47
flash sale,'24518934871055717,'136687399530652,All You Can Trend Worldwide,Website,NOT_VERIFIED,N/A,N/A,6857,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},{{product.brand}},Learn more,https://allyoucantrend.com/en/search/trends/tech-store/?utm_source=fb&utm_medium=ppc&utm_campaign={{campaign.id}}&utm_content=5355276874&utm_term=hi-tech,2023-12-20,2025-05-19,516,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,36665,All,"{'min': 23, 'max': 65}",UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=24518934871055717,https://www.facebook.com/AllYouCanTrendWorldwide/,2026-04-03 05:34:47
Puma,'1403703754625776,'915131508354374,All ol,Science & Tech,NOT_VERIFIED,N/A,N/A,51,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,N/A,N/A,Install now,http://play.google.com/store/apps/details?id=com.skyshield.network.app,2026-01-30,2026-03-10,39,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,32,All,"{'min': 18, 'max': 65}",UNKNOWN,,12482,https://www.facebook.com/ads/library/?id=1403703754625776,https://www.facebook.com/61585996805126/,2026-04-03 05:30:23
flash sale,'1229290988944814,'619405714597198,Alpha books,Library,NOT_VERIFIED,N/A,N/A,16989,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",VIDEO,🔞Attention! Do not read in public！👉,"I've been in love with my best friend, Finn Hartley, since we met in college ten years ago.
It's not like I'll ever tell him I have feelings for him. I know he doesn't see me that way. He probably won't ever see me that way.
Right now, we’re in his living room, and I’m holding him to my chest, liste",Learn more,https://redtgb.com/market/goodnovel/1?lpid=24282&utm_campaign={{campaign.name}}&utm_content={{campaign.id}}&adset_name={{adset.name}}&adset_id={{adset.id}}&ad_id={{ad.id}}&ad_name={{ad.name}}&placement={{placement}},2025-07-10,2025-08-09,30,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,83168,Women,"{'min': 19, 'max': 65}",UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=1229290988944814,https://www.facebook.com/61577090219926/,2026-04-03 05:34:47
