search_term,ad_id,page_name,page_id,status,platforms,display_format,ad_title,ad_copy_preview,caption,cta_text,link_url,start_date,stop_date,total_active_days,impressions,spend_lower,spend_upper,currency,page_likes,collation_count,categories,targeted_countries,page_profile_url,collected_at
H&M,4049371968649306,Frank Harber,536602809546285,INACTIVE,FACEBOOK,IMAGE,Frank Harber,"🔥 Defend Your Faith. Discover the Truth. 🔥
🎥 With Frank Harber
Looking for solid answers in a skeptical world?
Join Frank Harber—Christian apologist, evangelist, and legal expert—for bold, clear, and ",facebook.com,Like Page,https://www.facebook.com/536602809546285,2025-09-20,2025-10-18,28,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,773118.0,1.0,UNKNOWN,N/A,https://www.facebook.com/frankharber/,2026-04-02 18:37:56
H&M,1424570631872426,Frank Harber,536602809546285,INACTIVE,FACEBOOK,IMAGE,Frank Harber,"🔥 Defend Your Faith. Discover the Truth. 🔥
🎥 With Frank Harber

Looking for solid answers in a skeptical world?
Join Frank Harber—Christian apologist, evangelist, and legal expert—for bold, clear, and",facebook.com,Like Page,https://www.facebook.com/536602809546285,2025-05-13,2025-06-15,33,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,773118.0,12.0,UNKNOWN,N/A,https://www.facebook.com/frankharber/,2026-04-02 18:37:56
H&M,1884516885653077,Frank Harber,536602809546285,INACTIVE,FACEBOOK,IMAGE,Frank Harber,"🔥 Defend Your Faith. Discover the Truth. 🔥
🎥 With Frank Harber

Looking for solid answers in a skeptical world?
Join Frank Harber—Christian apologist, evangelist, and legal expert—for bold, clear, and",facebook.com,Like Page,https://www.facebook.com/536602809546285,2025-04-28,2025-05-03,5,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,773118.0,12.0,UNKNOWN,N/A,https://www.facebook.com/frankharber/,2026-04-02 18:37:56
H&M,1658615322197898,Frank Harber,536602809546285,INACTIVE,FACEBOOK,IMAGE,Frank Harber,"🔥 Defend Your Faith. Discover the Truth. 🔥
🎥 With Frank Harber

Looking for solid answers in a skeptical world?
Join Frank Harber—Christian apologist, evangelist, and legal expert—for bold, clear, and",facebook.com,Like Page,https://www.facebook.com/536602809546285,2025-04-28,2025-05-03,5,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,773118.0,12.0,UNKNOWN,N/A,https://www.facebook.com/frankharber/,2026-04-02 18:37:56
Adidas,2040295939803211,Frases de um Rockeiro,451970348184139,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",N/A,N/A,{{product.brand}},N/A,N/A,N/A,2025-04-09,2025-05-22,43,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,,1.0,UNKNOWN,N/A,https://www.facebook.com/100066705100575/,2026-04-02 18:36:07
Nike,665886939519142,Free Deals,756104234247248,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",N/A,N/A,"👉 FREE NIKE CLOTHES 🔥
❌ Zero Shipping or Fees!",N/A,N/A,N/A,2025-10-07,2025-10-31,24,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,,1.0,UNKNOWN,N/A,https://www.facebook.com/61578977436746/,2026-04-02 18:35:41
Nike,814187121160671,Free Deals,756104234247248,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",N/A,N/A,"👉 FREE NIKE CLOTHES 🔥
❌ Zero Shipping or Fees!",N/A,N/A,N/A,2025-10-06,2025-10-21,15,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,,2.0,UNKNOWN,N/A,https://www.facebook.com/61578977436746/,2026-04-02 18:35:41
Nike,1066914868728411,Free Deals,756104234247248,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,TAP TO CLAIM➡️,"👉 FREE NIKE WORKOUT CLOTHES🔥
❌ Zero Shipping or Fees!",meandworld.com,Learn more,https://meandworld.com/quiz-lp/?id=free-nike&utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_term=fb-{{placement}},2025-10-05,2025-10-21,16,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,6952.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61578977436746/,2026-04-02 18:35:41
Nike,840045371800159,Free Finds,745313258663548,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,🟢 TAP TO RECEIVE,"🎁 FREE NIKE TO TESTERS 🎁
❌ Zero Shipping or Fees! 🎉",newsbuckz.com,Learn more,https://newsbuckz.com/quiz-lp/?id=nike-us&utm_campaign={{campaign.name}}&utm_term=fb-{{placement}},2025-10-12,2025-10-21,9,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13434.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61578737386853/,2026-04-02 18:35:41
Zara,1391817342074171,FreeNovel,114812927056062,INACTIVE,"FACEBOOK, INSTAGRAM, MESSENGER, THREADS",VIDEO,Todos os capítulos gratuitos👉️👉️,"💥💥""Rachel, você realmente acha que pode se casar com Derek? Sou a verdadeira filha mais velha da família Watson. Você nunca saberá o que há nesta tigela de sopa. Mas garanto que você aproveitará sua n",m.freenovel.com,Learn more,https://m.freenovel.com/web2app/s_book_reader_self/29931446604/586409040425?pid=facebook&ndl_pid=facebook&ndl_campaign_id={{campaign.id}}&ndl_ad_id={{ad.id}}&ndl_adset_id={{adset.id}}&ndl_act_id=1286196129887473&ndl_book_id=141053&cpp={{cpp}}&lang=pt-pt,2025-07-02,2025-10-16,106,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,25569.0,1.0,UNKNOWN,N/A,https://www.facebook.com/100063911178520/,2026-04-02 18:37:31
flash sale,1311319260601580,Fundingpips,112655281326183,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",IMAGE,Use Code : FP20  |  Get 20% OFF On All Evaluations,"⚡ Flash Sale Alert: 20% OFF On All Evaluations
Offer Valid For 24 Hours Only!

FundingPips Zero is on Discount:

✅ Account starting at $55
✅ No Evaluation Needed
✅ Loved by 1M+ traders
✅ Zero Reward D",fundingpips.com,Learn more,http://fundingpips.com/,2025-08-25,2025-09-17,23,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,25252.0,1.0,UNKNOWN,N/A,https://www.facebook.com/Fundingpipsofficial/,2026-04-02 18:38:22
flash sale,1086110973591415,Fundingpips,112655281326183,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",N/A,N/A,"⚡ Flash Sale Alert: 20% OFF On All Evaluations
Offer Valid For 24 Hours Only!

Our 2-Step PRO is on Discount:

✅ Account starting at $23
✅ Loved by 1M+ traders
✅ Zero Reward Denial
✅ $150M+ Rewards Pr",N/A,N/A,N/A,2025-08-25,2025-09-15,21,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,,1.0,UNKNOWN,N/A,https://www.facebook.com/Fundingpipsofficial/,2026-04-02 18:38:22
flash sale,1820920795499620,Fundingpips,112655281326183,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",IMAGE,Use Code : FP20  |  Get 20% OFF On All Evaluations,"⚡ Flash Sale Alert: 20% OFF On All Evaluations
Offer Valid For 24 Hours Only!

Our 1-Step Evaluation is on Discount:

✅ Account starting at $47
✅ Loved by 1M+ traders
✅ Zero Reward Denial
✅ $150M+ Rew",fundingpips.com,Learn more,http://fundingpips.com/,2025-08-25,2025-09-17,23,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,25252.0,1.0,UNKNOWN,N/A,https://www.facebook.com/Fundingpipsofficial/,2026-04-02 18:38:22
flash sale,1869931396919991,Fundingpips,112655281326183,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",IMAGE,Use Code : FP20  |  Get 20% OFF On All Evaluations,"Flash Sale Alert: 20% OFF On All Evaluations
⚡ Offer Valid For 24 Hours Only!

Use Code: FP20

✅ Account starting at just $23
✅ $150M+ Rewards
✅ No Reward Denial
✅ 1M+ Traders

Start your trading jour",fundingpips.com,Learn more,http://fundingpips.com/,2025-08-24,2025-09-17,24,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,25252.0,1.0,UNKNOWN,N/A,https://www.facebook.com/Fundingpipsofficial/,2026-04-02 18:38:22
flash sale,1817304645736533,Galaxy Attack: Alien Shooter,1100031730052643,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",IMAGE,Flash Sale - Only $4.99,"💥 Limited-time Offer - 50% - 60% OFF💥
Get the chance to have LEGENDARY items!!",webshop.abigames.com.vn,Shop now,https://webshop.abigames.com.vn/,2025-02-18,2025-04-20,60,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,853347.0,1.0,UNKNOWN,N/A,https://www.facebook.com/GalaxyAttack/,2026-04-02 18:38:22
flash sale,9384276371592038,Galaxy Attack: Alien Shooter,1100031730052643,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",IMAGE,Flash Sale - Only $4.99,"💥 Limited-time Offer - 50% - 60% OFF💥
Get the chance to have LEGENDARY items!!",webshop.abigames.com.vn,Shop now,https://webshop.abigames.com.vn/,2024-12-22,2026-04-01,464,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,853347.0,2.0,UNKNOWN,N/A,https://www.facebook.com/GalaxyAttack/,2026-04-02 18:38:22
flash sale,1223856713082882,Galaxy Attack: Alien Shooter,1100031730052643,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",IMAGE,Flash Sale - Only $4.99,"💥 Limited-time Offer - 50% - 60% OFF💥
Get the chance to have LEGENDARY items!!",webshop.abigames.com.vn,Shop now,https://webshop.abigames.com.vn/,2024-12-22,2026-04-01,464,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,853347.0,2.0,UNKNOWN,N/A,https://www.facebook.com/GalaxyAttack/,2026-04-02 18:38:22
flash sale,1296055084853337,Galaxy Attack: Alien Shooter,1100031730052643,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",IMAGE,Flash Sale - Only $4.99,"💥 Limited-time Offer - 50% - 60% OFF💥
Get the chance to have LEGENDARY items!!",webshop.abigames.com.vn,Shop now,https://webshop.abigames.com.vn/,2024-12-22,2026-04-02,465,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,853347.0,2.0,UNKNOWN,N/A,https://www.facebook.com/GalaxyAttack/,2026-04-02 18:38:22
flash sale,1140136547828001,Galaxy Attack: Alien Shooter,1100031730052643,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",IMAGE,Flash Sale - Only $4.99,"💥 Limited-time Offer - 50% - 60% OFF💥
Get the chance to have LEGENDARY items!!",webshop.abigames.com.vn,Shop now,https://webshop.abigames.com.vn/,2024-12-22,2026-04-01,464,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,853347.0,2.0,UNKNOWN,N/A,https://www.facebook.com/GalaxyAttack/,2026-04-02 18:38:22
diskon,1529669081515467,Glad 2 Glow Indonesia,113110878452061,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DPA,"🛒 Gelombang terakhir, kamu masih ragu?","🌟Diskon besar sedang berlangsung, segera datang untuk menampilkan kecantikanmu😍#Glad2Glow memberi Anda solusi yang diakui oleh 99,5% pengguna🌟
💙✨Oleskan saja dengan lembut, dan masalah kulit terpecahk",shopee.co.id,Shop now,https://shopee.co.id/universal-link/glad2glow.indo?categoryId=100630&entryPoint=ShopByPDP?smtt=9&utm_source=facebook-ca&utm_medium=seller&utm_campaign=p_SS_ID_FBCA_home&utm_content=&deep_and_web=1,2025-11-17,2026-04-01,134,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,84310.0,,UNKNOWN,N/A,https://www.facebook.com/100093358028857/,2026-04-02 18:38:47
Nike,2294451530992924,Global Network,122099351198003624,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,TAP TO CLAIM➡️,"👉 NIKE SNEAKERS FOR TESTING 🔥
❌ Zero Shipping or Fees!",meandworld.com,Learn more,https://meandworld.com/quiz-lp/?id=free-nike&utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_term=fb-{{placement}},2025-11-27,2026-01-24,58,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13512.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61550350342415/,2026-04-02 18:35:41
Nike,873829994993968,Global Network,122099351198003624,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,TAP TO CLAIM➡️,"👉NIKE SOCCER CLEATS FOR TESTING 🔥
❌ Zero Shipping or Fees!",meandworld.com,Learn more,https://meandworld.com/quiz-lp/?id=free-nike&utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_term=fb-{{placement}},2025-11-27,2025-12-26,29,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13512.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61550350342415/,2026-04-02 18:35:41
H&M,1699789441426740,GoFood Indonesia,205852423679417,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},Let's GoFood! Banyak pilihan di Menu Sehat | Let's GoFood! Banyak pilihan di Menu Sehat,play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.gojek.app,2025-12-15,2026-04-01,106,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,45663.0,1.0,UNKNOWN,N/A,https://www.facebook.com/gofoodindonesia/,2026-04-02 18:37:56
diskon,1376688890075557,GoFood Indonesia,205852423679417,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},Dimanja GoFood dengan promo s.d. 50% dari resto favorit kamu! Ada flash sale Brand Day 3x sehari juga lho! | Dimanja GoFood dengan promo s.d. 50% dari resto favorit kamu! Ada flash sale Brand Day 3x s,www.gojek.com/gofood,Shop now,https://gojek.onelink.me/2351932542?af_force_deeplink=true&pid=facebook_ads&is_retargeting=true&af_click_lookback=7d&c=ID_PRO_FBIG_AW_Food-Gofood_(J25.69)-AlwaysOnTraffic-(ID01FOOD01)_N_ALL&af_adset=ID_PRO_FBIG_AW_Food-Gofood_(J25.69)-AlwaysOnTraffic-(ID01FOOD01)_N_ALL&af_ad=ID_PRO_FBIG_AW_Food-Gofood_(J25.69)-AlwaysOnTraffic-(ID01FOOD01)_N_ALL&af_channel=display&af_dp=gojek://gofood/promo&af_web_dp=&utm_source=facebook_ads&utm_medium=ID_PRO_FBIG_AW_Food-Gofood_(J25.69)-AlwaysOnTraffic-(ID01FOOD01)_N_ALL&utm_campaign=ID_PRO_FBIG_AW_Food-Gofood_(J25.69)-AlwaysOnTraffic-(ID01FOOD01)_N_ALL&utm_content=ID_PRO_FBIG_AW_Food-Gofood_(J25.69)-AlwaysOnTraffic-(ID01FOOD01)_N_ALL,2025-07-04,2025-07-15,11,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,45663.0,1.0,UNKNOWN,N/A,https://www.facebook.com/gofoodindonesia/,2026-04-02 18:38:47
diskon,4828456683841873,Gojek Indonesia,166677693366218,INACTIVE,"FACEBOOK, INSTAGRAM",VIDEO,N/A,"Jujur, emang niatnya nggak buru-buru kok, tapi...

Sambungin akun Gojek ke Tokopedia emang secepet itu! Tinggal cek caranya di atas, terus kalian bisa nikmatin keuntungan deh dari kedua akun. Mantep b",bit.ly,Learn more,https://bit.ly/3kfPl4c,2021-11-29,2021-12-15,16,>1M,N/A,N/A,IDR,1297101.0,1.0,POLITICAL,N/A,https://www.facebook.com/gojekindonesia/,2026-04-02 18:38:47
diskon,846019907887852,"Goodbye Galau, Goodbye GERD",328759517588462,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Hilangkan Stress dan Nikmati Tidur Nyenyak,"Solusi Alami untuk Tidur Nyenyak dan Mengurangi Stres: Heion Ashwagandha

Rasakan manfaat tidur yang mendalam dan perasaan lega dari stres dengan bantuan Heion Ashwagandha. Diperkaya dengan komponen a",http://heion.id,Order now,https://loop.heion.id/heion-ashwagandha-2,2025-10-23,2026-04-01,160,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,16668.0,1.0,UNKNOWN,N/A,https://www.facebook.com/GoodbyeGERDGalau/,2026-04-02 18:38:47
H&M,366281132619723,HP Tuners,371459246228217,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DCO,{{product.name}},"MPVI3［OBDIIツール］とVCM Suite［診断およびチューニングソフトウェア］でトラック、乗用車、ATV、パーソナルウォータークラフトなどをチューニングしましょう。さらに、HP Tunersを使用するチューニングの全プロセスで、専門家による技術サポートをご利用いただけます。

故障コード「チェックエンジン」ライトのスキャン
 エンジン性能のデータログ
 高度な診断データの表示
 車両のカ",hptuners.com,Shop now,https://www.hptuners.com/?utm_source=facebook&utm_medium=internationalretail&utm_campaign=portuguese,2023-12-05,2025-10-22,686,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,123661.0,1.0,UNKNOWN,N/A,https://www.facebook.com/HPTuners/,2026-04-02 18:37:56
H&M,712739397208333,HP Tuners,371459246228217,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DCO,{{product.name}},"Tu herramienta todo en uno de tuning y diagnóstico de vehículos ya está aquí. 💪 Hazlo tu mismo con nuestra herramienta MPVI3 OBDII y el software VCM Suite para tunear, registrar y verificar datos y di",hptuners.com,Shop now,https://www.hptuners.com/?utm_source=facebook&utm_medium=internationalretail2&utm_campaign=arabic,2023-12-05,2025-10-22,686,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,123661.0,1.0,UNKNOWN,N/A,https://www.facebook.com/HPTuners/,2026-04-02 18:37:56
H&M,376434471437215,HP Tuners,371459246228217,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DCO,{{product.name}},"هل أنت مستعد لضبط مركبتك؟ توفر لك HP Tuners ما تحتاج إليه: 
🔵 MPVI3: قم بتوصيل هذه الأداة بمنفذ OBDII في مركبتك
💻 برنامج VCM Suite: بادر بتنزيل برنامجنا المجاني للضبط والتشخيص على حاسوبك المحمول 
⚙️ ا",hptuners.com,Shop now,https://www.hptuners.com/?utm_source=facebook&utm_medium=internationalretail4&utm_campaign=spanish,2023-12-05,2025-10-22,686,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,123661.0,1.0,UNKNOWN,N/A,https://www.facebook.com/HPTuners/,2026-04-02 18:37:56
Adidas,3444941168993365,Halal Athlete,156870367502983,INACTIVE,INSTAGRAM,VIDEO,N/A,"First miles on the new setup.

The NordicTrack X24 just arrived so naturally the Adidas had to get the first run. Let’s see how many miles we can put on this thing. 🏃‍♂️🔥

@nordictrack @adidasrunning ",instagram.com,Visit Instagram profile,http://instagram.com/halalathlete,2026-03-08,2026-03-29,20,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,8451.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61552118602175/,2026-04-02 18:36:07
flash sale,669491899566165,"Harley-Davidson of Bangkok, Thailand",106182649424538,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",MULTI_IMAGES,N/A,"เสื้อฮู้ดดี้ หมวกแก๊ป อาร์มติดเสื้อ เลือกไอเทมที่ใช่ ก่อนดีลนี้จะหายไป
Up to 35% Off - Shop your Harley Look Now!
#HarleyDavidsonBangkok #HarleyRama9 #PowerStation #SpecialOffer #FlashSale2025",N/A,N/A,N/A,2025-10-17,2025-11-17,31,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,321419.0,1.0,UNKNOWN,N/A,https://www.facebook.com/HDBKK/,2026-04-02 18:38:22
H&M,766110216307847,Hats EMB,105813992016379,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",IMAGE,N/A,"🧐 Are you wondering if you will receive a proof before you order?⁠
⁠
Once you place your order, we will digitize your logo/image and you then will then receive an actual stitched image for approval be",N/A,N/A,N/A,2025-09-16,2026-04-02,198,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,4905.0,1.0,UNKNOWN,N/A,https://www.facebook.com/HatsEMB/,2026-04-02 18:37:56
H&M,540932685387705,Hazoorilal By Sandeep Narang at Hazoorilal Jewellers GK-1,263490613804414,INACTIVE,"FACEBOOK, INSTAGRAM",CAROUSEL,Hazoorilal By Sandeep Narang at Hazoorilal Jewellers GK-1,  |  ,instagram.com,Visit Instagram profile,http://instagram.com/hazoorilaljewellers,2024-11-01,2025-05-16,196,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,191465.0,2.0,UNKNOWN,N/A,https://www.facebook.com/hazoorilaljewellersgk/,2026-04-02 18:37:56
diskon,4205599686328302,Henleys.id,675106332348989,ACTIVE,"FACEBOOK, INSTAGRAM, MESSENGER, THREADS",VIDEO,Mencerahkan dan Mencegah Jerawat,"Mencerahkan Kulit Kusam, dan Mencegah Jerawat dalam 14 Hari

🎁 Diskon up to 35% + COD + Gratis Ongkir.

Wajah berminyak, gampang kusam, dan gampang jerawatan tapi takut cuci muka bikin kulit kering?

",skincare.henleys.id,Order now,https://skincare.henleys.id/daily-skincare-purchase-v/,2025-11-26,2026-04-01,125,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,804.0,2.0,UNKNOWN,N/A,https://www.facebook.com/henleys.id/,2026-04-02 18:38:47
Adidas,1078071874164316,Hepsiburada,151713574852990,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,{{product.name}},Spor ürünlerinde süper fırsatlar Hepsiburada'da! | Spor ürünlerinde süper fırsatlar Hepsiburada'da!,hepsiburada.com,Shop now,https://www.hepsiburada.com/spor-fitness-urunleri-c-2147483635,2025-05-15,2025-05-23,8,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,3008733.0,,UNKNOWN,N/A,https://www.facebook.com/Hepsiburada/,2026-04-02 18:36:07
Adidas,1106119064286884,Heritage Jerseys co.,497725690083562,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,{{product.name}},"🌍 Relive the glory days of football with Heritage Jerseys Co., your ultimate destination for the most legendary retro football shirts in history!
✔️ Thousands of satisfied customers worldwide
✔️ Top-n",heritagejerseyssco.com,Shop now,https://heritagejerseyssco.com/collections/all,2025-08-08,2025-08-29,21,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,11387.0,,UNKNOWN,N/A,https://www.facebook.com/61568374495763/,2026-04-02 18:36:07
Adidas,1862877321240281,Heritage Jerseys co.,497725690083562,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,{{product.name}},"🏆 Discover the most exclusive and iconic retro football shirts, timeless classics for those who truly appreciate the legacy of the game.
✔️ Secure, reliable checkout
✔️ Free worldwide shipping
Availab",heritagejerseyco.com,Shop now,https://heritagejerseyco.com/collections/all,2025-07-31,2025-08-09,9,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,11387.0,,UNKNOWN,N/A,https://www.facebook.com/61568374495763/,2026-04-02 18:36:07
H&M,1201475344673817,Hocho-Knife,612821522109699,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DCO,{{product.name}},Get a special present by subscription of the Official Newsletter for Sushi Knives! | Get a special present by subscription of the Official Newsletter for Sushi Knives!,http://www.hocho-knife.com/newsletter/,Learn more,http://fb.me/,2024-11-25,2026-04-01,491,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,144564.0,1.0,UNKNOWN,N/A,https://www.facebook.com/hochoknife/,2026-04-02 18:37:56
Nike,1891724192221974,Holo,636402359553778,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Black Friday 50% OFF  👉🏻,Launch 10x more content. 75% faster ✅,tryholo.ai,Learn more,https://tryholo.ai/,2026-01-15,2026-04-01,75,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,9715.0,6.0,UNKNOWN,N/A,https://www.facebook.com/61575143371406/,2026-04-02 18:35:41
Nike,1615848662733553,Holo,636402359553778,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Black Friday 50% OFF  👉🏻,Launch 10x more content. 75% faster ✅,tryholo.ai,Learn more,https://tryholo.ai/,2025-12-05,2026-03-21,105,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,9715.0,6.0,UNKNOWN,N/A,https://www.facebook.com/61575143371406/,2026-04-02 18:35:41
H&M,782351940924793,Huawei,119405895873,INACTIVE,FACEBOOK,IMAGE,Huawei,HUAWEI Pura 80 Series. Follow us and witness a stunning new era in smartphone design and photography.,facebook.com,Like Page,https://www.facebook.com/119405895873,2025-08-12,2025-08-31,19,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,31662759.0,13.0,UNKNOWN,N/A,https://www.facebook.com/huawei/,2026-04-02 18:37:56
H&M,683402857989764,Humbot,200859339776865,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",IMAGE,"Create Unique, High-Impact Content Instantly!","🌍 Anxious About AI Detection?
Humbot allows you to convert AI to Human Text and Bypass AI Detectors like GPTZero and Turnitin!
✅ Fast & easy
✅ 100% undetectable!
✅ High-Quality Rewriting
✅ Original Ou",humbot.ai,Learn more,https://humbot.ai/,2025-05-15,2026-04-01,321,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,7226.0,2.0,UNKNOWN,N/A,https://www.facebook.com/HumbotAI/,2026-04-02 18:37:56
H&M,1690202961911152,Hyva,100209413417132,INACTIVE,FACEBOOK,IMAGE,Hyva,"Maximum payload for long-haul transportation

Hyva 1-line wetkits for tipping semitrailers deliver maximum performance at minimum weight and with the shortest possible tipping cycle. 
Hyva hydraulic s",facebook.com,Like Page,https://facebook.com/HyvaGroup,2025-02-25,2026-02-03,343,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,212411.0,1.0,UNKNOWN,N/A,https://www.facebook.com/HyvaGroup/,2026-04-02 18:37:56
H&M,1688835352078066,IAAC - Advanced Architecture Barcelona,247876728823,INACTIVE,"FACEBOOK, INSTAGRAM",DCO,{{product.name}},"📣 Wanna participate in IAAC's 11th Advanced Architecture Contest?

Share your vision for Barcelona 2051 and compete for: €60,000 Full scholarships at IAAC 💥

🗓️ Deadline: Feb 12, 2026
Apply today! 👉 |",advancedarchitecturecontest.org,Sign up,https://advancedarchitecturecontest.org/?utm_source=meta&utm_medium=ppc&utm_campaign=aacontest2026,2025-11-20,2026-02-13,85,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,46694.0,2.0,UNKNOWN,N/A,https://www.facebook.com/IAACbcn/,2026-04-02 18:37:56
